iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
constructshop:False depot:True weather:True;21886.372;555.611;3695.037;75.524;255.095;2218.723;0.0;3124.0;15417.0;32756.906;6058.236;-4812.298;227.009;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
0;21886.372;555.611;3695.037;75.524;255.095;2218.723;0.0;3124.0;15417.0;32756.906;6058.236;-4812.298;174.361;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
1;21886.372;555.611;3695.037;75.524;255.095;2218.723;0.0;3124.0;15417.0;32756.906;6058.236;-4812.298;138.229;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
2;21562.101;522.548;3584.828;66.432;231.494;1958.725;0.0;3185.0;15496.0;32756.906;6058.236;-5136.569;18.512;19;128;[1.0, 1.3, 1.0, 1.0, 1.0];[1.0, 1.0, 1.3]
3;21562.101;522.548;3584.828;66.432;231.494;1958.725;0.0;3185.0;15496.0;32756.906;6058.236;-5136.569;15.211;19;128;[1.0, 1.27, 1.0, 1.0, 1.0];[1.0, 1.0, 1.27]
4;21562.101;522.548;3584.828;66.432;231.494;1958.725;0.0;3185.0;15496.0;32756.906;6058.236;-5136.569;16.909;19;128;[1.0, 1.27, 1.0, 1.0, 1.0];[1.0, 1.0, 1.243]
5;21348.861;536.111;3630.038;65.811;235.616;1946.711;0.0;3125.0;15236.0;32756.906;6058.236;-5349.809;167.489;19;128;[1.0, 1.27, 1.0, 1.0, 1.3];[1.3, 1.0, 1.243]
6;21340.296;521.615;3581.717;65.792;230.374;1940.965;0.0;3184.0;15296.0;32756.906;6058.236;-5358.374;76.585;19;128;[1.0, 1.27, 1.3, 1.0, 1.3];[1.3, 1.3, 1.243]
7;21340.296;521.615;3581.717;65.792;230.374;1940.965;0.0;3184.0;15296.0;32756.906;6058.236;-5358.374;108.08;19;128;[1.0, 1.27, 1.3, 1.0, 1.27];[1.27, 1.3, 1.243]
8;21340.296;521.615;3581.717;65.792;230.374;1940.965;0.0;3184.0;15296.0;32756.906;6058.236;-5358.374;71.821;19;128;[1.0, 1.27, 1.3, 1.0, 1.27];[1.27, 1.27, 1.243]
9;21340.296;521.615;3581.717;65.792;230.374;1940.965;0.0;3184.0;15296.0;32756.906;6058.236;-5358.374;81.677;19;128;[1.0, 1.27, 1.3, 1.2, 1.27];[1.443, 1.27, 1.243]
