iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
constructshop:True depot:False weather:False;19661.97;554.301;3690.669;90.178;267.772;2612.4;3748.8;0.0;15417.0;32756.906;6058.236;-7036.7;18.383;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
0;19661.97;554.301;3690.669;90.178;267.772;2612.4;3748.8;0.0;15417.0;32756.906;6058.236;-7036.7;11.323;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
1;19386.472;523.032;3586.44;88.905;249.332;2560.875;3583.2;0.0;15277.0;32756.906;6058.236;-7312.198;12.001;19;128;[1.0, 1.0, 1.3, 1.0, 1.0];[1.3, 1.0, 1.0]
2;18928.071;514.17;3556.901;68.904;234.361;2025.877;3655.2;0.0;14857.0;32756.906;6058.236;-7770.599;17.907;19;128;[1.0, 1.0, 1.3, 1.0, 1.3];[1.57, 1.0, 1.0]
3;18813.727;506.475;3531.252;60.988;224.787;1810.482;3465.6;0.0;14776.0;32756.906;6058.236;-7884.943;8.149;19;128;[1.0, 1.0, 1.3, 1.3, 1.3];[1.57, 1.3, 1.0]
4;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;1.296;19;128;[1.0, 1.3, 1.3, 1.3, 1.3];[1.57, 1.3, 1.3]
5;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;2.809;19;128;[1.0, 1.27, 1.3, 1.3, 1.3];[1.57, 1.3, 1.27]
6;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;7.629;19;128;[1.0, 1.27, 1.27, 1.3, 1.3];[1.513, 1.3, 1.27]
7;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;2.172;19;128;[1.0, 1.243, 1.27, 1.3, 1.3];[1.513, 1.27, 1.27]
8;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;3.343;19;128;[1.0, 1.243, 1.27, 1.3, 1.27];[1.513, 1.27, 1.243]
