iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
constructshop:True depot:True weather:False;19661.97;554.301;3690.669;90.178;267.772;2612.4;3748.8;0.0;15417.0;32756.906;6058.236;-7036.7;22.456;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
0;19661.97;554.301;3690.669;90.178;267.772;2612.4;3748.8;0.0;15417.0;32756.906;6058.236;-7036.7;14.204;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
1;19386.472;523.032;3586.44;88.905;249.332;2560.875;3583.2;0.0;15277.0;32756.906;6058.236;-7312.198;16.599;19;128;[1.0, 1.0, 1.3, 1.0, 1.0];[1.3, 1.0, 1.0]
2;18928.071;514.17;3556.901;68.904;234.361;2025.877;3655.2;0.0;14857.0;32756.906;6058.236;-7770.599;29.646;19;128;[1.0, 1.0, 1.3, 1.0, 1.3];[1.57, 1.0, 1.0]
3;18813.727;506.475;3531.252;60.988;224.787;1810.482;3465.6;0.0;14776.0;32756.906;6058.236;-7884.943;10.836;19;128;[1.0, 1.0, 1.3, 1.3, 1.3];[1.57, 1.3, 1.0]
4;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;1.795;19;128;[1.0, 1.3, 1.3, 1.3, 1.3];[1.57, 1.3, 1.3]
5;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;2.867;19;128;[1.0, 1.27, 1.3, 1.3, 1.3];[1.57, 1.3, 1.27]
6;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;10.537;19;128;[1.0, 1.27, 1.27, 1.3, 1.3];[1.513, 1.3, 1.27]
7;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;3.289;19;128;[1.0, 1.243, 1.27, 1.3, 1.3];[1.513, 1.27, 1.27]
8;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;4.298;19;128;[1.0, 1.243, 1.27, 1.3, 1.27];[1.513, 1.27, 1.243]
9;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;3.976;19;128;[1.0, 1.243, 1.443, 1.3, 1.27];[1.513, 1.27, 1.419]
10;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;12.772;19;128;[1.0, 1.243, 1.443, 1.47, 1.27];[1.513, 1.443, 1.419]
11;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;15.192;19;128;[1.0, 1.243, 1.443, 1.47, 1.27];[1.513, 1.399, 1.419]
12;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;4.031;19;128;[1.0, 1.243, 1.399, 1.47, 1.27];[1.513, 1.399, 1.377]
13;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;12.441;19;128;[1.0, 1.243, 1.399, 1.623, 1.27];[1.662, 1.399, 1.377]
14;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;13.03;19;128;[1.0, 1.243, 1.399, 1.761, 1.27];[1.796, 1.399, 1.377]
15;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;16.882;19;128;[1.0, 1.243, 1.559, 1.761, 1.27];[1.796, 1.559, 1.377]
16;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;18.513;19;128;[1.0, 1.243, 1.503, 1.761, 1.27];[1.716, 1.559, 1.377]
17;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;14.53;19;128;[1.2, 1.243, 1.503, 1.761, 1.27];[1.716, 1.703, 1.377]
18;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;3.053;19;128;[1.2, 1.243, 1.503, 1.685, 1.27];[1.716, 1.703, 1.339]
19;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;1.821;19;128;[1.2, 1.419, 1.503, 1.685, 1.27];[1.716, 1.833, 1.339]
20;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;16.736;19;128;[1.2, 1.419, 1.503, 1.817, 1.27];[1.716, 1.95, 1.339]
21;18799.47;503.185;3520.285;60.988;223.299;1808.995;3465.6;0.0;14776.0;32756.906;6058.236;-7899.199;14.634;19;128;[1.2, 1.419, 1.653, 1.817, 1.27];[1.716, 2.055, 1.339]
22;18787.643;482.456;3451.187;46.354;204.89;1410.102;3561.6;0.0;14854.0;32756.906;6058.236;-7911.027;4.398;19;128;[1.2, 1.419, 1.653, 1.817, 1.543];[1.716, 2.055, 1.605]
23;18742.955;472.374;3417.581;46.192;201.473;1402.47;3490.8;0.0;14853.0;32756.906;6058.236;-7955.715;13.785;19;128;[1.2, 1.419, 1.888, 1.817, 1.543];[1.716, 2.25, 1.605]
24;18742.955;472.374;3417.581;46.192;201.473;1402.47;3490.8;0.0;14853.0;32756.906;6058.236;-7955.715;2.399;19;128;[1.2, 1.377, 1.888, 1.817, 1.543];[1.716, 2.25, 1.545]
25;18742.955;472.374;3417.581;46.192;201.473;1402.47;3490.8;0.0;14853.0;32756.906;6058.236;-7955.715;3.587;19;128;[1.2, 1.339, 1.888, 1.817, 1.543];[1.716, 2.25, 1.491]
26;18742.955;472.374;3417.581;46.192;201.473;1402.47;3490.8;0.0;14853.0;32756.906;6058.236;-7955.715;28.447;19;128;[1.2, 1.339, 1.888, 1.817, 1.489];[1.716, 2.125, 1.491]
27;18742.955;472.374;3417.581;46.192;201.473;1402.47;3490.8;0.0;14853.0;32756.906;6058.236;-7955.715;10.611;19;128;[1.2, 1.339, 1.888, 1.935, 1.489];[1.716, 2.213, 1.491]
28;18742.955;472.374;3417.581;46.192;201.473;1402.47;3490.8;0.0;14853.0;32756.906;6058.236;-7955.715;13.118;19;128;[1.2, 1.339, 1.999, 1.935, 1.489];[1.716, 2.292, 1.491]
29;18742.955;472.374;3417.581;46.192;201.473;1402.47;3490.8;0.0;14853.0;32756.906;6058.236;-7955.715;9.121;19;128;[1.2, 1.305, 1.999, 1.935, 1.489];[1.644, 2.292, 1.491]
30;18742.955;472.374;3417.581;46.192;201.473;1402.47;3490.8;0.0;14853.0;32756.906;6058.236;-7955.715;12.625;19;128;[1.2, 1.305, 2.099, 1.935, 1.489];[1.644, 2.363, 1.491]
31;18700.522;480.813;3445.709;77.831;226.346;2249.95;3610.8;0.0;14774.0;32756.906;6058.236;-7998.148;12.605;19;128;[1.2, 1.305, 2.289, 1.935, 1.489];[1.644, 2.527, 1.491]
32;18686.466;477.569;3434.897;78.463;225.675;2265.715;3610.8;0.0;14774.0;32756.906;6058.236;-8012.204;10.621;19;128;[1.2, 1.305, 2.289, 2.142, 1.489];[1.644, 2.674, 1.491]
33;18686.466;477.569;3434.897;78.463;225.675;2265.715;3610.8;0.0;14774.0;32756.906;6058.236;-8012.204;2.848;19;128;[1.2, 1.274, 2.289, 2.142, 1.489];[1.644, 2.507, 1.491]
34;19014.43;498.407;3524.023;67.94;225.378;1991.816;3681.6;0.0;14992.0;33093.686;5721.456;-8357.8;3.926;18;128;[1.48, 1.274, 2.289, 2.142, 1.489];[1.644, 2.507, 1.742]
35;18953.607;493.602;3508.005;64.087;219.597;1885.864;3634.8;0.0;14952.0;33093.686;5721.456;-8418.624;11.478;18;128;[1.732, 1.274, 2.289, 2.142, 1.489];[1.644, 2.656, 1.742]
36;18953.607;493.602;3508.005;64.087;219.597;1885.864;3634.8;0.0;14952.0;33093.686;5721.456;-8418.624;12.465;18;128;[1.732, 1.274, 2.16, 2.142, 1.489];[1.58, 2.656, 1.742]
37;18953.607;493.602;3508.005;64.087;219.597;1885.864;3634.8;0.0;14952.0;33093.686;5721.456;-8418.624;13.799;18;128;[1.732, 1.274, 2.16, 2.028, 1.489];[1.522, 2.656, 1.742]
38;18894.274;479.91;3462.365;69.66;217.422;2028.58;3634.8;0.0;14952.0;33093.686;5721.456;-8477.955;10.337;18;128;[1.732, 1.274, 2.344, 2.028, 1.489];[1.77, 2.656, 1.742]
39;18894.274;479.91;3462.365;69.66;217.422;2028.58;3634.8;0.0;14952.0;33093.686;5721.456;-8477.955;10.695;18;128;[1.732, 1.274, 2.21, 2.028, 1.489];[1.77, 2.49, 1.742]
40;18894.274;479.91;3462.365;69.66;217.422;2028.58;3634.8;0.0;14952.0;33093.686;5721.456;-8477.955;10.166;18;128;[1.732, 1.274, 2.289, 2.028, 1.489];[1.77, 2.541, 1.742]
41;18894.274;479.91;3462.365;69.66;217.422;2028.58;3634.8;0.0;14952.0;33093.686;5721.456;-8477.955;6.959;18;128;[1.732, 1.247, 2.289, 2.028, 1.489];[1.77, 2.387, 1.742]
42;18894.274;479.91;3462.365;69.66;217.422;2028.58;3634.8;0.0;14952.0;33093.686;5721.456;-8477.955;11.119;18;128;[1.859, 1.247, 2.289, 2.028, 1.489];[1.77, 2.448, 1.742]
43;18894.274;479.91;3462.365;69.66;217.422;2028.58;3634.8;0.0;14952.0;33093.686;5721.456;-8477.955;27.007;18;128;[1.859, 1.247, 2.289, 2.028, 1.44];[1.693, 2.448, 1.742]
44;18894.274;479.91;3462.365;69.66;217.422;2028.58;3634.8;0.0;14952.0;33093.686;5721.456;-8477.955;2.894;18;128;[1.859, 1.422, 2.289, 2.028, 1.44];[1.824, 2.448, 1.742]
45;18894.274;479.91;3462.365;69.66;217.422;2028.58;3634.8;0.0;14952.0;33093.686;5721.456;-8477.955;12.803;18;128;[1.859, 1.422, 2.289, 1.925, 1.44];[1.742, 2.448, 1.742]
46;18649.489;483.421;3474.068;66.398;216.32;1942.673;3325.2;0.0;14692.0;33093.686;5721.456;-8722.741;11.619;18;128;[2.073, 1.422, 2.289, 1.925, 1.44];[1.742, 2.603, 1.742]
47;18649.489;483.421;3474.068;66.398;216.32;1942.673;3325.2;0.0;14692.0;33093.686;5721.456;-8722.741;31.361;18;128;[2.073, 1.422, 2.289, 1.925, 1.396];[1.668, 2.603, 1.742]
48;18649.489;483.421;3474.068;66.398;216.32;1942.673;3325.2;0.0;14692.0;33093.686;5721.456;-8722.741;3.442;18;128;[2.073, 1.422, 2.16, 1.925, 1.396];[1.668, 2.603, 1.668]
49;18649.489;483.421;3474.068;66.398;216.32;1942.673;3325.2;0.0;14692.0;33093.686;5721.456;-8722.741;2.938;18;128;[2.073, 1.422, 2.16, 1.833, 1.396];[1.668, 2.603, 1.601]
