iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
constructshop:True depot:False weather:True;22105.649;554.301;3690.669;83.858;263.372;2443.679;3748.8;0.0;15417.0;32756.906;6058.236;-4593.021;202.437;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
0;22105.649;554.301;3690.669;83.858;263.372;2443.679;3748.8;0.0;15417.0;32756.906;6058.236;-4593.021;179.656;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
1;21788.256;524.883;3592.61;82.585;246.542;2393.763;3583.2;0.0;15277.0;32756.906;6058.236;-4910.414;145.664;19;128;[1.0, 1.0, 1.3, 1.0, 1.0];[1.3, 1.0, 1.0]
2;20868.234;513.85;3555.833;65.747;232.128;1941.552;3655.2;0.0;14857.0;32756.906;6058.236;-5830.436;212.261;19;128;[1.0, 1.0, 1.3, 1.0, 1.3];[1.57, 1.0, 1.0]
3;20615.202;504.657;3525.191;60.988;223.658;1809.354;3465.6;0.0;14776.0;32756.906;6058.236;-6083.468;97.769;19;128;[1.0, 1.0, 1.3, 1.3, 1.3];[1.57, 1.3, 1.0]
4;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;19.185;19;128;[1.0, 1.3, 1.3, 1.3, 1.3];[1.57, 1.3, 1.3]
5;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;18.724;19;128;[1.0, 1.27, 1.3, 1.3, 1.3];[1.57, 1.3, 1.27]
6;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;93.506;19;128;[1.0, 1.27, 1.3, 1.3, 1.27];[1.57, 1.27, 1.27]
7;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;65.919;19;128;[1.0, 1.27, 1.47, 1.3, 1.27];[1.713, 1.27, 1.27]
8;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;64.924;19;128;[1.0, 1.443, 1.47, 1.3, 1.27];[1.713, 1.443, 1.27]
